"","53ea7f0500e5790843000001","53ec1ba3adfd950841000000","53ecff906ce61cfb2e000004","53ed01cceab72a9241000000","53ed5839a9a0b1572a000000","53f12e1eee140fba78000001","53f29bcb6ce61ce921000000","53f330abee140fd373000003","53f37f54a9a0b13220000001","53f3c020eab72a0d71000002"
"B. R., 33418",1,0,0,0,0,0,0,0,0,0
"D. D., 54304",1,1,0,0,0,0,0,0,0,0
"M. H., 63368",1,0,0,0,0,0,0,0,0,0
"L. W., 73160",1,1,1,0,1,1,0,1,1,1
"K. G., 45459",1,0,0,0,0,0,0,0,0,0
"W. D., 73170",1,0,0,0,0,0,0,0,0,0
"L. B., 94954",1,0,0,0,0,0,0,0,0,0
"J. P., 10606",1,0,0,0,0,0,0,0,0,0
"B. M., 19064",1,0,0,0,0,0,0,0,0,0
"S. T., 25064",1,0,0,0,0,0,0,0,0,0
"E. R., 53713",1,0,0,0,0,0,0,0,0,0
"C. M., 95073",1,0,0,0,0,0,0,0,0,0
"S. L., 95135",1,0,0,0,0,0,0,0,0,0
"M. B., 95678",1,0,0,0,0,0,0,0,0,0
"N. C., 23220",1,0,0,0,0,0,0,0,0,0
"K. V., 32824",1,0,0,0,0,0,0,0,0,0
"I. M., 63109",1,0,0,0,0,0,0,0,0,0
"M. I., 11432",1,0,1,0,1,0,0,1,0,1
"A. M., 03109",1,0,0,0,0,0,0,0,0,0
"M. B., 30620",1,0,0,0,0,0,0,0,0,0
"D. Y., 73003",1,1,0,0,1,0,0,0,0,0
"Z. M., 55406",1,0,0,0,0,0,0,0,0,0
"R. R., 22079",1,0,1,0,1,1,0,0,0,1
"J. O., 91423",1,0,0,0,0,0,0,0,0,0
"I. D., 44147",1,0,0,0,0,0,0,0,0,0
"J. C., 54177",1,0,0,0,0,0,0,0,0,0
"S. C., 33312",1,0,0,0,0,0,0,0,0,0
"T. C., 32583",1,0,0,0,0,0,0,0,0,1
"A. S., 18433",1,1,0,0,0,0,0,0,0,0
"B. B., 97222",1,0,0,0,0,0,0,0,0,0
"K. H., 99362",1,0,0,0,0,0,0,0,0,0
"M. H., 18008",1,0,0,0,0,0,0,0,0,0
"G. C., 47130",1,0,0,0,0,0,0,0,0,0
"T. K., 75071",1,0,0,0,0,0,0,0,0,0
"D. G., 14620",1,0,0,0,0,0,0,0,0,0
"C. J., 89147",1,0,0,0,0,0,0,0,0,0
"K. J., 98507",1,0,0,0,0,0,0,0,0,0
"T. H., 65757",1,0,0,0,0,0,0,0,0,0
"K. E., 48197",1,0,0,0,0,0,0,0,0,0
"S. R., 95401",1,0,0,0,0,0,0,0,0,0
"L. C., 65807",1,0,0,0,0,0,0,0,0,0
"H. N., 27713",1,0,0,0,1,0,0,0,0,1
"M. R., t2a1n9",1,0,0,0,0,0,0,0,0,0
"T. G., 49221",1,0,0,0,0,0,0,0,0,0
"P. R., 32304",1,0,0,0,0,0,0,0,0,0
"B. S., 02368",1,0,0,0,0,0,0,0,0,0
"L. T., 04222",1,0,0,0,0,0,0,0,0,0
"E. A., 78205",1,0,0,0,0,0,0,0,0,0
"J. A., 10011",1,0,0,0,1,1,0,0,0,0
"A. M., dd4 8sj",1,0,0,0,0,0,0,0,0,0
"M. K., 44256",1,0,0,0,1,0,0,0,0,0
"D. W., 60008",1,0,0,0,0,0,0,0,0,0
"A. F., 33143",1,0,0,0,0,0,0,0,0,0
"S. B., 10025-3570",1,0,1,1,1,1,0,1,0,1
"L. G., 01826",1,0,1,0,0,0,0,0,0,0
"N. A., 78240",1,0,0,0,0,0,0,0,0,0
"R. S., 07421",1,0,0,0,0,0,0,0,0,0
"K. D., 02825",1,0,0,0,0,0,0,0,0,0
"C. P., 15068",1,0,0,0,0,0,0,0,0,0
"K. B., 27104",1,0,0,0,0,0,0,0,0,0
"J. F., 89107",1,0,0,0,0,0,0,0,0,0
"L. C., 61104",1,0,0,0,0,0,0,0,1,0
"A. D., 48170",1,0,0,0,0,0,0,0,0,0
"C. H., 75044",1,0,0,0,0,0,0,0,0,0
"R. T., 92630",1,0,0,0,0,0,0,0,0,0
"M. P., 51031",1,0,0,0,0,0,0,0,0,0
"K. H., 65203",1,0,0,0,0,0,0,0,0,0
"C. B., 97045-7956",1,0,0,0,0,0,0,0,0,0
"C. H., 33980",1,0,0,0,0,0,0,0,0,0
"S. A., 55112",1,0,0,0,0,0,0,0,0,0
"M. M., 02136",1,0,0,0,0,0,0,0,0,0
"S. G., 99504",1,0,0,0,0,0,0,0,0,0
"A. N., 47403",1,0,0,0,0,0,0,0,0,0
"A. W., 73719",1,0,1,0,1,0,0,0,1,1
"S. C., T5H 3R8",1,0,0,0,0,0,0,0,0,0
"L. R., 78218",1,0,0,0,0,0,0,0,0,0
"C. N., 55009",1,0,0,0,0,0,0,0,0,0
"B. D., 93117",1,0,0,0,0,0,0,0,0,0
"J. T., 89052",1,0,0,0,0,0,0,0,0,0
"A. L., 78073",1,0,0,0,0,0,0,0,0,0
"C. S., 89121",1,0,0,0,0,0,0,0,0,0
"Z. G., 61068",1,0,0,0,0,0,0,0,0,0
"M. W., 15656",1,0,0,0,0,0,0,0,0,0
"O. M., 11379",1,0,0,0,0,0,0,0,0,0
"C. R., 30328",1,0,0,0,0,0,0,0,0,0
"N. S., 92889",1,0,0,0,0,0,0,0,0,0
"C. V., 75240",1,0,0,0,1,0,0,0,0,0
"R. H., 19003",1,0,0,0,0,0,0,0,0,0
"A. L., 07731",1,0,0,0,0,0,0,0,0,0
"D. S., 92277",1,0,0,0,1,1,0,0,0,1
"L. C., 07016",1,0,0,0,0,0,0,0,0,0
"K. M., 32746",1,0,0,0,0,0,0,0,0,0
"K. R., 67211",1,0,0,0,0,0,0,0,0,0
"L. L., 48236",1,0,0,0,0,0,0,0,0,0
"K. A., 10453",1,0,0,0,0,0,0,0,0,0
"R. D., 95204",1,0,0,0,0,0,0,0,0,0
"V. B., 38117",1,0,0,0,0,0,0,0,0,0
"K. D., 27525",1,0,0,0,0,0,0,0,0,0
"M. H., 48439-1620",1,0,0,0,0,0,0,0,0,0
"F. L., 95833",1,0,0,0,0,0,0,0,0,0
"N. D., 00730",1,0,0,0,0,0,0,0,0,0
"R. M., 60657",1,0,0,0,0,0,0,0,0,0
"K. A., ab45 3yw",1,0,0,0,0,0,0,0,0,0
"T. A., 95037",1,0,0,0,0,0,0,0,0,0
"M. P., 77479",1,0,0,0,0,0,0,0,0,0
"B. C., V0E 1B7",1,0,0,0,0,0,0,0,0,0
"N. F., 60649",1,0,0,0,0,0,0,0,0,0
"N. L., 5841 AT",1,0,0,0,0,0,0,0,0,0
"E. W., 90621",1,0,0,0,0,0,0,0,0,0
"J. G., 61068",1,0,0,0,0,0,0,0,0,0
"H. C., 02139",1,0,0,0,1,0,0,0,0,0
"S. K., 84121",1,0,0,0,0,0,0,0,0,0
"M. H., 18041",1,0,0,0,0,0,0,0,0,0
"I. W., 20011",1,0,1,0,1,1,0,0,0,1
"S. G., 48009",1,1,1,0,1,0,0,0,0,0
"D. K., 49435",1,0,0,0,0,0,0,0,0,0
"F. G., 23231",1,0,0,0,0,0,0,0,0,0
"R. R., 97230",1,0,0,0,0,0,0,0,0,0
"M. E., 07093",1,0,0,0,0,0,0,0,0,0
"K. P., 11365",1,0,0,0,1,0,0,0,0,0
"W. W., 98433",1,0,0,0,0,0,0,0,0,0
"S. F., 63044",1,0,0,0,0,0,0,0,0,0
"R. D., 65203",1,0,0,0,0,0,0,0,0,0
"D. C., 11206",1,0,0,0,0,0,0,0,0,0
"F. P., 20196",1,0,0,0,0,0,0,0,0,0
"K. F., 24293",1,0,0,0,0,0,0,0,0,0
"S. C., 96019",1,0,0,0,0,0,0,0,0,0
"J. J., 00000",1,0,0,0,0,0,0,0,0,0
"C. H., 96737",1,0,0,1,1,1,1,0,0,1
"R. L., 95123",1,0,0,0,0,0,0,0,0,0
"A. S., 20008",1,0,0,0,1,0,0,0,0,0
"E. B., 33027",1,0,0,0,0,0,0,0,0,0
"C. B., 77095",1,0,0,0,0,0,0,0,0,0
"M. G., 91910",1,0,0,0,0,0,0,0,0,0
"S. P., 55987",1,0,0,0,0,0,0,0,0,0
"R. G., 76051",1,0,1,1,1,1,0,0,0,0
"T. W., 85306",1,0,0,0,0,0,0,0,0,0
"N. I., 79927",1,0,0,0,0,0,0,0,0,0
"A. T., 46120",1,0,0,0,0,0,0,0,0,0
"E. F., 30005",1,0,0,0,0,0,0,0,0,0
"M. P., so516by",1,0,0,0,0,0,0,0,0,0
"A. R., 06525",1,0,0,0,0,0,0,0,0,0
"M. M., 92626",1,0,0,0,0,0,0,0,0,0
"C. B., 10301",1,0,0,0,0,0,0,0,0,0
"S. S., 32905",1,0,0,0,0,0,0,0,0,0
"A. D., 07724",1,0,0,0,0,0,0,0,0,0
"O. V., 08057",1,0,0,0,0,0,0,0,0,0
"A. S., 73162",1,0,0,0,0,0,0,0,0,0
"C. W., 83651",1,0,1,0,1,1,0,0,1,1
"R. T., 78154-1120",1,0,0,0,0,0,0,0,0,0
"D. G., 95129",1,0,0,0,0,0,0,1,0,0
"T. M., 53081",1,0,0,0,0,0,0,0,0,0
"G. S., 02139",1,0,0,0,0,0,0,0,0,0
"D. K., 33138",1,0,0,0,0,0,0,0,0,0
"S. W., 11520",1,0,0,0,0,0,0,0,0,0
"R. S., 49721",1,1,0,0,0,1,0,0,1,0
"D. C., 65806",1,0,0,0,0,0,0,0,0,0
"J. T., 21702",1,0,1,0,0,0,0,0,0,0
"R. S., 80138",1,0,0,0,0,0,0,0,0,0
"R. M., 95210",1,0,0,0,0,0,0,0,0,0
"V. S., 95350",1,0,0,0,0,0,0,0,0,0
"D. H., 46060",1,0,0,0,0,0,0,0,0,0
"E. S., 63135",1,0,0,0,0,0,0,0,0,1
"C. O., 78220",1,0,0,0,0,0,0,0,0,0
"E. R., 02131",1,0,0,0,0,0,0,0,0,0
"F. S., 92130",1,0,0,0,0,0,0,0,0,0
"R. C., 46143",1,0,0,0,0,0,0,0,0,0
"A. W., 85306",1,0,0,0,0,0,0,0,0,0
"J. W., 30305",1,0,1,0,1,1,0,1,0,1
"M. C., 47712",1,0,0,0,0,0,0,0,0,0
"R. A., 91710",1,0,0,0,0,0,0,0,0,0
